rsp_id,rsp_id2,country,mig_ext_motivo,migrated_yn_5,CARI,income_per_capita_tier,mig_ext_intention,mig_ext_plan_12months,mig_ext_preparacion,motiv_cat
1660,rsp1660-1,GT,1 7 6,1,2,3,1,1,0,econ-1
1660,rsp1660-2,GT,1 7 6,1,2,3,1,1,0,econ-1
1660,rsp1660-3,GT,1 7 6,1,2,3,1,1,0,econ-1
1660,rsp1660-4,GT,1 6 7,1,2,3,1,1,0,econ-1
1661,rsp1661,GT,1 7,1,1,4,0,,,econ-1
1670,rsp1670,GT,1,1,2,1,1,0,,econ-1
1671,rsp1671,GT,1,1,2,2,0,,,econ-1
1672,rsp1672,GT,1,1,2,1,0,,,econ-1
1673,rsp1673,GT,1 2 7,1,2,1,1,1,0,econ-1
1677,rsp1677-1,GT,1 2,1,2,1,0,,,econ-1
1677,rsp1677-2,GT,1 2 7,1,2,1,0,,,econ-1
1678,rsp1678-1,GT,1 7,1,2,4,0,,,econ-1
1678,rsp1678-2,GT,1,1,2,4,0,,,econ-1
1683,rsp1683,GT,2 1,1,2,1,1,0,,econ-1
1689,rsp1689,HND,2,1,1,2,1,0,,econ-1
1690,rsp1690,HND,2,1,2,3,1,0,,econ-1
1694,rsp1694,HND,1 2 8,1,2,4,0,,,econ-1
1697,rsp1697,SLV,1 11 7,1,2,4,1,1,0,econ-sec-2
1704,rsp1704-1,GT,1 2 6,1,2,4,0,,,econ-1
1704,rsp1704-2,GT,6 9,1,2,4,0,,,econ-oth-2
1704,rsp1704-3,GT,9 6 7,1,2,4,0,,,econ-oth-2
1704,rsp1704-4,GT,1 3 6,1,2,4,0,,,econ-clim-2
1712,rsp1712-1,SLV,1 2,1,2,4,1,0,,econ-1
1712,rsp1712-2,SLV,1 2,1,2,4,1,0,,econ-1
1712,rsp1712-3,SLV,1 2,1,2,4,1,0,,econ-1
1718,rsp1718,SLV,11,1,2,3,0,,,sec-1
1724,rsp1724-1,SLV,11,1,1,1,1,0,,sec-1
1724,rsp1724-2,SLV,1 2 8,1,1,1,1,0,,econ-1
1726,rsp1726,SLV,1 8,1,1,4,1,0,,econ-1
1730,rsp1730,SLV,7,1,1,1,1,0,,econ-1
1739,rsp1739-1,HND,1 2 6,1,3,4,1,0,,econ-1
1739,rsp1739-2,HND,1 2 6,1,3,4,1,0,,econ-1
1743,rsp1743-1,HND,2,1,1,4,1,0,,econ-1
1743,rsp1743-2,HND,2,1,1,4,1,0,,econ-1
1744,rsp1744,HND,1 2 6,1,2,1,1,0,,econ-1
1749,rsp1749-1,SLV,1,1,2,4,1,0,,econ-1
1749,rsp1749-2,SLV,1 3 8,1,2,4,1,0,,econ-clim-2
1761,rsp1761,SLV,1 7,1,2,4,1,0,,econ-1
1763,rsp1763,SLV,1 2 8,1,2,4,1,0,,econ-1
1764,rsp1764-1,SLV,1 7,1,1,4,0,,,econ-1
1764,rsp1764-2,SLV,2 7 8,1,1,4,0,,,econ-1
1766,rsp1766-1,SLV,1 6 2,1,2,4,1,0,,econ-1
1766,rsp1766-2,SLV,1 6,1,2,4,1,0,,econ-1
1766,rsp1766-3,SLV,1 6,1,2,4,1,0,,econ-1
1767,rsp1767,SLV,1 2 8,1,1,5,1,1,1,econ-1
1770,rsp1770,SLV,14 1,1,2,2,1,0,,econ-oth-2
1771,rsp1771,SLV,1 6 7,1,2,3,1,0,,econ-1
1772,rsp1772,SLV,1 7 8,1,2,3,1,1,0,econ-1
1782,rsp1782,SLV,11,1,2,4,1,0,,sec-1
1786,rsp1786,SLV,1 2 8,1,2,1,0,,,econ-1
1789,rsp1789-1,SLV,1 7 6,1,1,1,1,0,,econ-1
1789,rsp1789-2,SLV,1 3 2,1,1,1,1,0,,econ-clim-2
1798,rsp1798-1,SLV,1 7,1,1,2,1,0,,econ-1
1798,rsp1798-2,SLV,7 1,1,1,2,1,0,,econ-1
1799,rsp1799-1,SLV,1 7,1,1,4,1,1,1,econ-1
1799,rsp1799-2,SLV,1 7,1,1,4,1,1,1,econ-1
1800,rsp1800-1,SLV,16,1,1,1,1,0,,oth-1
1800,rsp1800-2,SLV,2 1,1,1,1,1,0,,econ-1
1803,rsp1803,SLV,12,1,1,2,1,1,0,reun-1
1804,rsp1804,SLV,1,1,2,1,1,0,,econ-1
1820,rsp1820,HND,1 8,1,2,4,0,,,econ-1
1824,rsp1824-1,HND,1 2,1,2,3,0,,,econ-1
1824,rsp1824-2,HND,6,1,2,3,0,,,econ-1
1825,rsp1825-1,HND,1 3 6,1,2,4,1,1,1,econ-clim-2
1825,rsp1825-2,HND,1 2,1,2,4,1,1,1,econ-1
1825,rsp1825-3,HND,1 2,1,2,4,1,1,1,econ-1
1829,rsp1829,HND,1 6,1,1,3,0,,,econ-1
1830,rsp1830,SLV,1,1,1,4,1,1,1,econ-1
1838,rsp1838,SLV,1,1,1,4,1,0,,econ-1
1839,rsp1839,HND,1 11,1,1,1,1,0,,econ-sec-2
1840,rsp1840,HND,1 11,1,2,4,1,1,0,econ-sec-2
1848,rsp1848-1,HND,2 7 6,1,2,3,1,1,1,econ-1
1848,rsp1848-2,HND,2 7,1,2,3,1,1,1,econ-1
1848,rsp1848-3,HND,2 7,1,2,3,1,1,1,econ-1
1857,rsp1857,GT,1 7,1,2,3,0,,,econ-1
1859,rsp1859,GT,7 8,1,2,3,0,,,econ-1
1861,rsp1861-1,GT,12,1,1,4,0,,,reun-1
1861,rsp1861-2,GT,12,1,1,4,0,,,reun-1
1863,rsp1863-1,GT,12,1,1,5,1,0,,reun-1
1863,rsp1863-2,GT,12,1,1,5,1,0,,reun-1
1864,rsp1864,GT,12,1,1,5,0,,,reun-1
1875,rsp1875,GT,1 8,1,2,3,1,0,,econ-1
1885,rsp1885,GT,1 2 6,1,1,4,0,,,econ-1
1891,rsp1891,GT,1 8,1,1,2,0,,,econ-1
1892,rsp1892,GT,2 1 8,1,1,2,0,,,econ-1
1893,rsp1893,GT,2,1,1,1,1,0,,econ-1
1906,rsp1906,GT,1,1,2,4,1,0,,econ-1
1918,rsp1918,GT,1,1,1,5,1,0,,econ-1
1921,rsp1921-1,GT,1,1,1,2,0,,,econ-1
1921,rsp1921-2,GT,1,1,1,2,0,,,econ-1
1922,rsp1922,GT,1 2,1,2,3,1,1,1,econ-1
1923,rsp1923,GT,1,1,1,5,1,1,1,econ-1
1926,rsp1926-1,GT,12,1,1,6,1,0,,reun-1
1926,rsp1926-2,GT,12,1,1,6,1,0,,reun-1
1926,rsp1926-3,GT,1,1,1,6,1,0,,econ-1
1931,rsp1931,GT,1 7 8,1,2,1,1,0,,econ-1
1944,rsp1944,GT,1 7 8,1,1,3,1,0,,econ-1
1947,rsp1947-1,GT,1,1,1,1,1,0,,econ-1
1947,rsp1947-2,GT,1,1,1,1,1,0,,econ-1
1951,rsp1951-1,GT,1 7,1,2,3,1,0,,econ-1
1951,rsp1951-2,GT,1 3,1,2,3,1,0,,econ-clim-2
1951,rsp1951-3,GT,1 7,1,2,3,1,0,,econ-1
1951,rsp1951-4,GT,99,1,2,3,1,0,,oth-1
1952,rsp1952,GT,1 7,1,2,4,1,0,,econ-1
1958,rsp1958,GT,1 2 7,1,1,2,0,,,econ-1
1959,rsp1959,GT,1 2 7,1,1,1,1,0,,econ-1
1961,rsp1961,GT,1,1,2,5,1,1,0,econ-1
1968,rsp1968-1,GT,1,1,2,4,0,,,econ-1
1968,rsp1968-2,GT,1,1,2,4,0,,,econ-1
1968,rsp1968-3,GT,1,1,2,4,0,,,econ-1
1968,rsp1968-4,GT,1,1,2,4,0,,,econ-1
1968,rsp1968-5,GT,1,1,2,4,0,,,econ-1
1973,rsp1973-1,GT,1,1,1,5,1,0,,econ-1
1973,rsp1973-2,GT,1,1,1,5,1,0,,econ-1
